game_id,home,away,total_home_EPA,total_away_EPA,season,home_win
401628551,Wisconsin,Oregon,8.632947126005998,-8.632947126005998,2024,0
401628552,Purdue,Penn State,-31.804271419426627,31.804271419426627,2024,0
401628553,Washington,UCLA,9.575361569746141,-9.575361569746141,2024,1
401628554,Rutgers,Illinois,-9.156371459297203,9.156371459297203,2024,0
401628555,Ohio State,Indiana,29.000220395816953,-29.000220395816953,2024,1
401628556,Maryland,Iowa,-17.050068457790548,17.050068457790548,2024,0
401628557,Michigan,Northwestern,35.89861779802658,-35.89861779802658,2024,1
401628558,Michigan State,Purdue,-10.16261558339934,10.16261558339934,2024,1
401628559,Minnesota,Penn State,-6.450417937501082,6.450417937501082,2024,0
401628560,Nebraska,Wisconsin,16.152145976832387,-16.152145976832387,2024,1
401628561,UCLA,USC,-2.2699085168213244,2.2699085168213244,2024,0
401628562,Iowa,Nebraska,-7.751886093203022,7.751886093203022,2024,1
401628563,Northwestern,Illinois,-9.616913281501766,9.616913281501766,2024,0
401628564,Indiana,Purdue,58.91482042789128,-58.91482042789128,2024,1
401628565,Penn State,Maryland,37.49530074229485,-37.49530074229485,2024,1
401628566,Ohio State,Michigan,-3.278038461827887,3.278038461827887,2024,0
401628567,Michigan State,Rutgers,-20.187887393123066,20.187887393123066,2024,0
401628568,Wisconsin,Minnesota,2.364001938913765,-2.364001938913765,2024,0
401628569,Oregon,Washington,21.59570955848736,-21.59570955848736,2024,1
401628570,UCLA,Fresno State,0.7174326015496044,-0.7174326015496044,2024,1
401628571,USC,Notre Dame,-13.051247529724083,13.051247529724083,2024,0
401628572,Oregon State,Washington State,3.4589180570393414,-3.4589180570393414,2024,1
401628579,Delaware,Bryant,19.949957708649546,-19.949957708649546,2024,1
401628581,Wake Forest,North Carolina A&T,20.014988812484074,-20.014988812484074,2024,1
401628582,UCF,New Hampshire,44.67102898152741,-44.67102898152741,2024,1
401628584,Duke,Elon,15.961841271364365,-15.961841271364365,2024,1
401628586,Liberty,Campbell,16.617772241318164,-16.617772241318164,2024,1
401628589,Virginia,Richmond,0.24035327066326145,-0.24035327066326145,2024,1
401628590,Marshall,Stony Brook,38.20377643094214,-38.20377643094214,2024,1
401628591,Cincinnati,Towson,25.73372527748359,-25.73372527748359,2024,1
401628593,West Virginia,UAlbany,33.04614073556103,-33.04614073556103,2024,1
401628603,Coastal Carolina,William & Mary,10.136067315432852,-10.136067315432852,2024,1
401628609,North Carolina A&T,Delaware,-32.17298758085379,32.17298758085379,2024,0
401628621,Delaware,Pennsylvania,11.064643472044613,-11.064643472044613,2024,1
401628625,Florida International,Monmouth,-4.340348708433579,4.340348708433579,2024,0
401628635,Delaware,Sacred Heart,45.49782138761811,-45.49782138761811,2024,1
401628640,Monmouth,Delaware,-1.9813612326374044,1.9813612326374044,2024,0
401628650,Delaware,Maine,22.945915632589593,-22.945915632589593,2024,1
401628658,Richmond,Delaware,11.39741800333514,-11.39741800333514,2024,1
401628662,Delaware,UAlbany,17.12361652540102,-17.12361652540102,2024,1
401628680,Delaware,Rhode Island,1.8098371201274646,-1.8098371201274646,2024,1
401628691,Delaware,Campbell,15.275143424907338,-15.275143424907338,2024,1
401628694,Villanova,Delaware,6.802322003418376,-6.802322003418376,2024,1
401628977,Notre Dame,Northern Illinois,-2.3564842559097343,2.3564842559097343,2024,0
401628978,Purdue,Notre Dame,-45.0397998524383,45.0397998524383,2024,0
401628979,Notre Dame,Miami (OH),29.547467203574403,-29.547467203574403,2024,1
401628980,Notre Dame,Louisville,2.195616605264853,-2.195616605264853,2024,1
401628981,Notre Dame,Stanford,41.10514385827705,-41.10514385827705,2024,1
401628982,Georgia Tech,Notre Dame,-11.787564933189259,11.787564933189259,2024,0
401628983,Navy,Notre Dame,-11.114517940912544,11.114517940912544,2024,0
401628984,Notre Dame,Florida State,47.07266337306373,-47.07266337306373,2024,1
401628985,Notre Dame,Virginia,11.832189367961744,-11.832189367961744,2024,1
401629030,Duke,UConn,11.161690200026488,-11.161690200026488,2024,1
401629031,UConn,Florida Atlantic,11.971174461754744,-11.971174461754744,2024,1
401629032,UConn,Buffalo,38.89850476835232,-38.89850476835232,2024,1
401629033,UConn,Temple,0.0012230195127157506,-0.0012230195127157506,2024,1
401629034,UConn,Wake Forest,0.6055083437774487,-0.6055083437774487,2024,0
401629035,UConn,Rice,13.018363406455943,-13.018363406455943,2024,1
401629036,UConn,Georgia State,-0.22488412732309032,0.22488412732309032,2024,1
401629037,UAB,UConn,-18.57986884203646,18.57986884203646,2024,0
401629038,Massachusetts,UConn,-6.2065452283869496,6.2065452283869496,2024,0
401629039,Massachusetts,Eastern Michigan,-13.968861412355244,13.968861412355244,2024,0
401629040,Toledo,Massachusetts,13.248443718453265,-13.248443718453265,2024,1
401629041,Buffalo,Massachusetts,29.22954183235271,-29.22954183235271,2024,1
401629042,Massachusetts,Central Connecticut,11.37891132703553,-11.37891132703553,2024,1
401629043,Miami (OH),Massachusetts,-0.1893706614482913,0.1893706614482913,2024,1
401629044,Northern Illinois,Massachusetts,9.590590738080973,-9.590590738080973,2024,1
401629045,North Texas,Army,-12.0014160219203,12.0014160219203,2024,0
401629046,Massachusetts,Liberty,-2.8949965996902565,2.8949965996902565,2024,0
401632062,Louisville,Austin Peay,42.80322372894025,-42.80322372894025,2024,1
401632064,Arkansas State,Central Arkansas,-4.281858257793778,4.281858257793778,2024,1
401632068,Western Kentucky,Eastern Kentucky,15.660332211847095,-15.660332211847095,2024,1
401632071,UNLV,Utah Tech,38.49496534807037,-38.49496534807037,2024,1
401632072,UTEP,Southern Utah,0.672962279739228,-0.672962279739228,2024,0
401632459,Georgia State,Chattanooga,4.2592357680572634,-4.2592357680572634,2024,1
401634133,App State,East Tennessee State,8.762511133582574,-8.762511133582574,2024,1
401634163,Illinois State,Missouri State,-20.631488317320418,20.631488317320418,2024,0
401634169,Purdue,Indiana State,48.39926233029898,-48.39926233029898,2024,1
401634175,Missouri State,Indiana State,21.485270484821264,-21.485270484821264,2024,1
401634180,Montana,Missouri State,7.448494268891855,-7.448494268891855,2024,1
401634181,Ball State,Missouri State,14.661553511751432,-14.661553511751432,2024,1
401634182,Missouri State,Lindenwood,9.919890919501222,-9.919890919501222,2024,1
401634183,UT Martin,Missouri State,-4.979189503133116,4.979189503133116,2024,0
401634184,Missouri State,Youngstown State,-1.1493005219629597,1.1493005219629597,2024,1
401634185,Northern Iowa,Missouri State,-1.8277636893828106,1.8277636893828106,2024,0
401634186,Missouri State,Southern Illinois,11.655392380961725,-11.655392380961725,2024,1
401634187,Murray State,Missouri State,-29.417555242054874,29.417555242054874,2024,0
401634188,North Dakota State,Missouri State,26.818117773750835,-26.818117773750835,2024,1
401634189,Missouri State,South Dakota State,-37.64760644123726,37.64760644123726,2024,0
401634197,Iowa State,North Dakota,20.706796874540753,-20.706796874540753,2024,1
401634206,Colorado,North Dakota State,3.0622187705128794,-3.0622187705128794,2024,1
401634212,Oklahoma State,South Dakota State,2.771589544630962,-2.771589544630962,2024,1
401634240,BYU,Southern Illinois,10.181834561958754,-10.181834561958754,2024,1
401634247,Pittsburgh,Youngstown State,39.6154609217908,-39.6154609217908,2024,1
401634299,NC State,Western Carolina,39.052825379928166,-39.052825379928166,2024,1
401634300,Stanford,TCU,-11.963842532798264,11.963842532798264,2024,0
401634301,California,UC Davis,0.36236542560134744,-0.36236542560134744,2024,1
401634302,Georgia Tech,Georgia State,21.311547444309387,-21.311547444309387,2024,1
401634303,SMU,Houston Christian,41.696498973254585,-41.696498973254585,2024,1
401634304,Syracuse,Ohio,14.9898795662017,-14.9898795662017,2024,1
401634305,Pittsburgh,Kent State,21.60116304036202,-21.60116304036202,2024,1
401634306,Florida State,Boston College,-11.962543935853558,11.962543935853558,2024,0
401634765,SMU,BYU,11.666605065902752,-11.666605065902752,2024,0
